linear_idx,head,row,col,actual_bf16_hex,expected_bf16_hex,actual_float,expected_float,abs_err,row_error,out_last,pass
94,0,0,94,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
95,0,0,95,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
96,0,0,96,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
97,0,0,97,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
98,0,0,98,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
99,0,0,99,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
100,0,0,100,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
101,0,0,101,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
102,0,0,102,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
103,0,0,103,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
104,0,0,104,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
105,0,0,105,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
106,0,0,106,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
107,0,0,107,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
108,0,0,108,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
109,0,0,109,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
110,0,0,110,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
111,0,0,111,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
112,0,0,112,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
113,0,0,113,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
114,0,0,114,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
115,0,0,115,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
116,0,0,116,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
117,0,0,117,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
118,0,0,118,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
119,0,0,119,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
120,0,0,120,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
121,0,0,121,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
122,0,0,122,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
123,0,0,123,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
124,0,0,124,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
125,0,0,125,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
126,0,0,126,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
127,0,0,127,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,1,1
128,0,1,0,3f00,3f00,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,0,0,1
129,0,1,1,3f00,3f00,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,0,0,1
130,0,1,2,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
131,0,1,3,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
132,0,1,4,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
133,0,1,5,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
134,0,1,6,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
135,0,1,7,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
136,0,1,8,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
137,0,1,9,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
138,0,1,10,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
139,0,1,11,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
140,0,1,12,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
141,0,1,13,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
142,0,1,14,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
143,0,1,15,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
144,0,1,16,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
145,0,1,17,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
146,0,1,18,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
147,0,1,19,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
148,0,1,20,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
149,0,1,21,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
150,0,1,22,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
151,0,1,23,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
152,0,1,24,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
153,0,1,25,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
154,0,1,26,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
